Date,VEDL_Open,VEDL_High,VEDL_Low,VEDL_Close,VEDL_Volume,India_GDP_Growth_Perc,India_Inflation_Rate_Perc,Nifty_Metal_Open,Nifty_Metal_High,Nifty_Metal_Low,Nifty_Metal_Close,Nifty_Metal_Volume,VEDL_News_Sentiment
2024-08-30,465.6499938964844,473.20001220703125,464.5,468.45001220703125,14026797,6.8,4.0,9392.349609375,9404.900390625,9266.650390625,9369.9501953125,1168000,0.70864
2024-08-29,470.20001220703125,470.95001220703125,459.04998779296875,463.3999938964844,12608981,6.8,4.0,9460.650390625,9461.2001953125,9375.5,9414.7998046875,825500,0.5123090909090909
2024-08-28,467.8999938964844,469.25,463.6000061035156,466.04998779296875,9277650,6.8,4.0,9499.900390625,9518.4501953125,9424.2998046875,9432.75,1175100,0.8487142857142856
2024-08-27,463.0,468.5,460.8500061035156,463.8999938964844,10906758,6.8,4.0,9349.7998046875,9512.2001953125,9322.599609375,9490.75,1575100,0.7135333333333334
2024-08-26,453.0,465.95001220703125,452.0,463.1000061035156,11143399,6.8,4.0,9344.4501953125,9352.4501953125,9273.2998046875,9290.5,916600,0.8617499999999999
2024-08-23,459.95001220703125,460.20001220703125,448.3500061035156,449.29998779296875,6908675,6.8,4.0,9224.900390625,9225.25,9132.7001953125,9204.650390625,1475000,0.8170230769230769
2024-08-22,460.0,461.6000061035156,454.70001220703125,459.54998779296875,8864437,6.8,4.0,9033.4501953125,9173.349609375,9031.4501953125,9161.9501953125,1785000,0.64393
2024-08-21,449.6000061035156,458.8999938964844,447.6499938964844,455.29998779296875,13609457,6.8,4.0,8938.7001953125,9009.7001953125,8871.75,8994.099609375,1623900,0.7759416666666666
2024-08-20,444.5,447.8500061035156,440.1499938964844,446.6499938964844,8887888,6.8,4.0,8989.25,8992.7998046875,8727.7998046875,8844.2998046875,2253800,0.5552444444444444
2024-08-19,430.5,444.3999938964844,429.25,442.75,10922980,6.8,4.0,9164.099609375,9171.5,8941.150390625,8957.150390625,1159400,0.78615
2024-08-16,426.0,430.8500061035156,421.54998779296875,429.04998779296875,9815524,6.8,4.0,9115.0,9115.7998046875,8953.7998046875,8969.25,1253200,0.7145333333333334
2024-08-14,425.0,428.5,405.20001220703125,420.20001220703125,18914429,6.8,4.0,8955.5498046875,9086.650390625,8865.0,8888.9501953125,1334500,0.7375705882352941
2024-08-13,433.20001220703125,434.0,421.25,422.3500061035156,8522806,6.8,4.0,9077.2001953125,9100.0498046875,8797.599609375,8862.5,2389000,0.8738199999999999
2024-08-12,426.1499938964844,436.0,424.75,432.1000061035156,8178539,6.8,4.0,9440.349609375,9448.2998046875,9301.5,9314.5498046875,1616000,0.897675
2024-08-09,430.1000061035156,432.25,423.54998779296875,428.8500061035156,8363641,6.8,4.0,9441.5498046875,9512.4501953125,9367.400390625,9468.349609375,1009500,0.8068500000000001
2024-08-08,430.04998779296875,431.5,421.04998779296875,422.29998779296875,9305734,6.8,4.0,9510.75,9520.349609375,9416.849609375,9450.2998046875,1278400,0.77562
2024-08-07,425.5,434.45001220703125,418.5,432.29998779296875,15297435,6.8,4.0,9240.0498046875,9448.349609375,9215.75,9423.400390625,1392900,0.738525
2024-08-06,417.54998779296875,421.95001220703125,411.29998779296875,413.8999938964844,17994697,6.8,4.0,9152.9501953125,9181.4501953125,9093.75,9148.0,1365500,0.8989714285714285
2024-08-05,424.0,428.45001220703125,404.25,413.25,20763297,6.8,4.0,9272.400390625,9328.9501953125,9225.349609375,9267.150390625,1231400,0.5447200000000001
2024-08-02,440.0,441.95001220703125,432.29998779296875,434.20001220703125,13093052,6.8,4.0,9611.349609375,9614.0,9241.150390625,9256.2998046875,1807600,0.7732125
2024-08-01,458.0,462.25,443.54998779296875,448.1000061035156,19749880,6.8,4.0,9719.9501953125,9724.099609375,9587.7001953125,9636.9501953125,1278100,0.3937124999999999
2024-07-31,453.0,454.3999938964844,445.5,450.75,14227543,6.7,4.15,9775.0,9821.900390625,9708.2998046875,9722.0,998600,0.7696129032258064
